datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/1/2025 4:00:00 AM,11/1/2025 12:00:00 AM,RFC,MIDATL,AE,AECO,792.799,False
11/1/2025 4:00:00 AM,11/1/2025 12:00:00 AM,RFC,WEST,AEP,AEPAPT,3878.670,True
11/1/2025 4:00:00 AM,11/1/2025 12:00:00 AM,RFC,WEST,AEP,AEPIMP,2801.602,True
11/1/2025 4:00:00 AM,11/1/2025 12:00:00 AM,RFC,WEST,AEP,AEPKPT,596.634,True
11/1/2025 4:00:00 AM,11/1/2025 12:00:00 AM,RFC,WEST,AEP,AEPOPT,6919.535,True
11/1/2025 4:00:00 AM,11/1/2025 12:00:00 AM,RFC,WEST,AP,AP,4660.072,True
11/1/2025 4:00:00 AM,11/1/2025 12:00:00 AM,RFC,MIDATL,BC,BC,2632.042,False
11/1/2025 4:00:00 AM,11/1/2025 12:00:00 AM,RFC,WEST,CE,CE,8927.049,True
11/1/2025 4:00:00 AM,11/1/2025 12:00:00 AM,RFC,WEST,DAY,DAY,1613.701,False
11/1/2025 4:00:00 AM,11/1/2025 12:00:00 AM,RFC,WEST,DEOK,DEOK,2400.745,False
11/1/2025 4:00:00 AM,11/1/2025 12:00:00 AM,SERC,SOUTH,DOM,DOM,12834.129,False
11/1/2025 4:00:00 AM,11/1/2025 12:00:00 AM,RFC,MIDATL,DPL,DPLCO,1557.341,False
11/1/2025 4:00:00 AM,11/1/2025 12:00:00 AM,RFC,WEST,DUQ,DUQ,1104.368,False
11/1/2025 4:00:00 AM,11/1/2025 12:00:00 AM,RFC,MIDATL,DPL,EASTON,19.840,True
11/1/2025 4:00:00 AM,11/1/2025 12:00:00 AM,SERC,WEST,EKPC,EKPC,1471.988,False
11/1/2025 4:00:00 AM,11/1/2025 12:00:00 AM,RFC,MIDATL,JC,JC,1937.383,True
11/1/2025 4:00:00 AM,11/1/2025 12:00:00 AM,RFC,MIDATL,ME,ME,1299.772,True
11/1/2025 4:00:00 AM,11/1/2025 12:00:00 AM,RFC,WEST,ATSI,OE,5649.701,True
11/1/2025 4:00:00 AM,11/1/2025 12:00:00 AM,RFC,WEST,OVEC,OVEC,33.000,True
11/1/2025 4:00:00 AM,11/1/2025 12:00:00 AM,RFC,WEST,ATSI,PAPWR,441.748,True
11/1/2025 4:00:00 AM,11/1/2025 12:00:00 AM,RFC,MIDATL,PE,PE,3242.465,False
11/1/2025 4:00:00 AM,11/1/2025 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,2094.515,False
11/1/2025 4:00:00 AM,11/1/2025 12:00:00 AM,RFC,MIDATL,PL,PLCO,3595.303,False
11/1/2025 4:00:00 AM,11/1/2025 12:00:00 AM,RFC,MIDATL,PN,PN,1549.053,True
11/1/2025 4:00:00 AM,11/1/2025 12:00:00 AM,RFC,MIDATL,PS,PS,3909.995,False
